"filename", "language", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\webdev\twitterCloneReact\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"d:\webdev\twitterCloneReact\myapp\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"d:\webdev\twitterCloneReact\myapp\package-lock.json", "JSON", 0, 28689, 0, 0, 0, 0, 1, 28690
"d:\webdev\twitterCloneReact\myapp\package.json", "JSON", 0, 42, 0, 0, 0, 0, 1, 43
"d:\webdev\twitterCloneReact\myapp\public\index.html", "HTML", 0, 0, 0, 0, 21, 23, 3, 47
"d:\webdev\twitterCloneReact\myapp\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"d:\webdev\twitterCloneReact\myapp\src\App.css", "CSS", 0, 0, 3, 0, 0, 38, 2, 43
"d:\webdev\twitterCloneReact\myapp\src\App.js", "JavaScript", 28, 0, 0, 0, 0, 0, 3, 31
"d:\webdev\twitterCloneReact\myapp\src\Login.css", "CSS", 0, 0, 117, 0, 0, 0, 13, 130
"d:\webdev\twitterCloneReact\myapp\src\Login.js", "JavaScript", 69, 0, 0, 0, 0, 29, 12, 110
"d:\webdev\twitterCloneReact\myapp\src\components\AddTweet.css", "CSS", 0, 0, 80, 0, 0, 0, 5, 85
"d:\webdev\twitterCloneReact\myapp\src\components\AddTweet.js", "JavaScript", 66, 0, 0, 0, 0, 5, 7, 78
"d:\webdev\twitterCloneReact\myapp\src\components\Com.js", "JavaScript", 30, 0, 0, 0, 0, 6, 5, 41
"d:\webdev\twitterCloneReact\myapp\src\components\CommentSection.css", "CSS", 0, 0, 96, 0, 0, 2, 7, 105
"d:\webdev\twitterCloneReact\myapp\src\components\CommentSection.js", "JavaScript", 93, 0, 0, 0, 0, 38, 17, 148
"d:\webdev\twitterCloneReact\myapp\src\components\Commentslist.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 25
"d:\webdev\twitterCloneReact\myapp\src\components\Navbar.css", "CSS", 0, 0, 61, 0, 0, 12, 11, 84
"d:\webdev\twitterCloneReact\myapp\src\components\Navbar.js", "JavaScript", 103, 0, 0, 0, 0, 11, 7, 121
"d:\webdev\twitterCloneReact\myapp\src\components\News.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\webdev\twitterCloneReact\myapp\src\components\News.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"d:\webdev\twitterCloneReact\myapp\src\components\NewsCard.css", "CSS", 0, 0, 15, 0, 0, 0, 4, 19
"d:\webdev\twitterCloneReact\myapp\src\components\NewsCard.js", "JavaScript", 45, 0, 0, 0, 0, 26, 16, 87
"d:\webdev\twitterCloneReact\myapp\src\components\Profilecard.css", "CSS", 0, 0, 136, 0, 0, 3, 14, 153
"d:\webdev\twitterCloneReact\myapp\src\components\Profilecard.js", "JavaScript", 128, 0, 0, 0, 0, 2, 2, 132
"d:\webdev\twitterCloneReact\myapp\src\components\Tweet.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\webdev\twitterCloneReact\myapp\src\components\Tweet.js", "JavaScript", 34, 0, 0, 0, 0, 0, 8, 42
"d:\webdev\twitterCloneReact\myapp\src\components\TweetCard.css", "CSS", 0, 0, 59, 0, 0, 0, 7, 66
"d:\webdev\twitterCloneReact\myapp\src\components\TweetCard.js", "JavaScript", 58, 0, 0, 0, 0, 2, 4, 64
"d:\webdev\twitterCloneReact\myapp\src\index.css", "CSS", 0, 0, 7, 0, 0, 13, 2, 22
"d:\webdev\twitterCloneReact\myapp\src\index.js", "JavaScript", 8, 0, 0, 0, 0, 3, 7, 18
"d:\webdev\twitterCloneReact\myapp\src\pages\Home.css", "CSS", 0, 0, 157, 0, 0, 36, 33, 226
"d:\webdev\twitterCloneReact\myapp\src\pages\Home.js", "JavaScript", 56, 0, 0, 0, 0, 50, 6, 112
"d:\webdev\twitterCloneReact\myapp\src\pages\Homepage.css", "CSS", 0, 0, 22, 0, 0, 0, 2, 24
"d:\webdev\twitterCloneReact\myapp\src\pages\Homepage.js", "JavaScript", 37, 0, 0, 0, 0, 0, 3, 40
"d:\webdev\twitterCloneReact\myapp\src\pages\PhoneSIgnUp.js", "JavaScript", 116, 0, 0, 0, 0, 0, 8, 124
"d:\webdev\twitterCloneReact\myapp\src\pages\PhoneSignIn.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\webdev\twitterCloneReact\myapp\src\pages\PhoneSignIn.js", "JavaScript", 81, 0, 0, 0, 0, 0, 8, 89
"d:\webdev\twitterCloneReact\myapp\src\pages\PhoneSignUp.css", "CSS", 0, 0, 47, 0, 0, 0, 2, 49
"d:\webdev\twitterCloneReact\myapp\src\pages\Profile.css", "CSS", 0, 0, 37, 0, 0, 0, 7, 44
"d:\webdev\twitterCloneReact\myapp\src\pages\Profile.js", "JavaScript", 27, 0, 0, 0, 0, 0, 2, 29
"d:\webdev\twitterCloneReact\server\index.js", "JavaScript", 152, 0, 0, 0, 0, 29, 27, 208
"d:\webdev\twitterCloneReact\server\models\commentmodel.js", "JavaScript", 23, 0, 0, 0, 0, 1, 4, 28
"d:\webdev\twitterCloneReact\server\models\postmodel.js", "JavaScript", 34, 0, 0, 0, 0, 1, 3, 38
"d:\webdev\twitterCloneReact\server\models\usermodel.js", "JavaScript", 24, 0, 0, 0, 0, 0, 2, 26
"d:\webdev\twitterCloneReact\server\myapp\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"d:\webdev\twitterCloneReact\server\myapp\package-lock.json", "JSON", 0, 28689, 0, 0, 0, 0, 1, 28690
"d:\webdev\twitterCloneReact\server\myapp\package.json", "JSON", 0, 41, 0, 0, 0, 0, 3, 44
"d:\webdev\twitterCloneReact\server\myapp\public\index.html", "HTML", 0, 0, 0, 0, 19, 23, 3, 45
"d:\webdev\twitterCloneReact\server\myapp\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"d:\webdev\twitterCloneReact\server\myapp\src\App.css", "CSS", 0, 0, 4, 0, 0, 38, 1, 43
"d:\webdev\twitterCloneReact\server\myapp\src\App.js", "JavaScript", 27, 0, 0, 0, 0, 0, 2, 29
"d:\webdev\twitterCloneReact\server\myapp\src\Login.css", "CSS", 0, 0, 117, 0, 0, 0, 12, 129
"d:\webdev\twitterCloneReact\server\myapp\src\Login.js", "JavaScript", 69, 0, 0, 0, 0, 29, 12, 110
"d:\webdev\twitterCloneReact\server\myapp\src\components\AddTweet.css", "CSS", 0, 0, 76, 0, 0, 0, 1, 77
"d:\webdev\twitterCloneReact\server\myapp\src\components\AddTweet.js", "JavaScript", 67, 0, 0, 0, 0, 5, 6, 78
"d:\webdev\twitterCloneReact\server\myapp\src\components\Navbar.css", "CSS", 0, 0, 6, 0, 0, 0, 3, 9
"d:\webdev\twitterCloneReact\server\myapp\src\components\Navbar.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"d:\webdev\twitterCloneReact\server\myapp\src\components\News.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\webdev\twitterCloneReact\server\myapp\src\components\News.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"d:\webdev\twitterCloneReact\server\myapp\src\components\NewsCard.css", "CSS", 0, 0, 15, 0, 0, 0, 4, 19
"d:\webdev\twitterCloneReact\server\myapp\src\components\NewsCard.js", "JavaScript", 45, 0, 0, 0, 0, 0, 12, 57
"d:\webdev\twitterCloneReact\server\myapp\src\components\Tweet.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\webdev\twitterCloneReact\server\myapp\src\components\Tweet.js", "JavaScript", 30, 0, 0, 0, 0, 0, 4, 34
"d:\webdev\twitterCloneReact\server\myapp\src\components\TweetCard.css", "CSS", 0, 0, 59, 0, 0, 0, 7, 66
"d:\webdev\twitterCloneReact\server\myapp\src\components\TweetCard.js", "JavaScript", 56, 0, 0, 0, 0, 2, 3, 61
"d:\webdev\twitterCloneReact\server\myapp\src\index.css", "CSS", 0, 0, 7, 0, 0, 13, 3, 23
"d:\webdev\twitterCloneReact\server\myapp\src\index.js", "JavaScript", 8, 0, 0, 0, 0, 3, 7, 18
"d:\webdev\twitterCloneReact\server\myapp\src\pages\Home.css", "CSS", 0, 0, 153, 0, 0, 16, 19, 188
"d:\webdev\twitterCloneReact\server\myapp\src\pages\Home.js", "JavaScript", 112, 0, 0, 0, 0, 11, 6, 129
"d:\webdev\twitterCloneReact\server\myapp\src\pages\Homepage.css", "CSS", 0, 0, 16, 0, 0, 0, 1, 17
"d:\webdev\twitterCloneReact\server\myapp\src\pages\Homepage.js", "JavaScript", 33, 0, 0, 0, 0, 0, 2, 35
"d:\webdev\twitterCloneReact\server\myapp\src\pages\PhoneSIgnUp.js", "JavaScript", 116, 0, 0, 0, 0, 0, 7, 123
"d:\webdev\twitterCloneReact\server\myapp\src\pages\PhoneSignIn.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
